Ground Truth,Modified RAG Answer,Traditional RAG Answer,BERTScore for Modified,Exact Match for Modified,BLEU Score for Modified,ROUGE-1 for Modified,ROUGE-2 for Modified,ROUGE-L for Modified,BERTScore for Traditional,Exact Match for Traditional,BLEU Score for Traditional,ROUGE-1 for Traditional,ROUGE-2 for Traditional,ROUGE-L for Traditional
Vice President Johnson,Lockheed signed an agreement with Vice President Johnson that pledged to seek out more qualified minority candidates for technical and skill positions.,Lockheed signed an agreement with Vice President Johnson that pledged to seek out more qualified minority candidates for technical and skill positions.,0.857234359,0,0.042996333,0.24,0.173913043,0.24,0.857234359,0,0.042996333,0.24,0.173913043,0.24
Jim Crow,The corporations associated with Jim Crow laws to ignore the federal recommendations.,The corporations associated with Jim Crow laws to ignore the federal recommendations.,0.880743086,0,0.036020803,0.285714286,0.166666667,0.285714286,0.880743086,0,0.036020803,0.285714286,0.166666667,0.285714286
Civil Rights Act,President Kennedy's assassination was followed by LBJ's Civil Rights Act.,President Johnson's Civil Rights Act quickly followed President Kennedy's assassination.,0.856370628,0,0.044632361,0.4,0.307692308,0.4,0.864621043,0,0.104455227,0.4,0.307692308,0.4
integrate public facilities,The other aim of the Civil Rights Act was to end discrimination in all firms with 25 or more employees through Title VII.,The other aim of the Civil Rights Act was to end discrimination in all firms with 25 or more employees through Title VII.,0.819697142,0,0,0,0,0,0.819697142,0,0,0,0,0
11114,executive order 11114,Executive Order 11114,0.861589253,0,0.113621937,0.5,0,0.5,0.861999989,0,0.113621937,0.5,0,0.5
to end discrimination in all firms with 25 or more employees,Title VII of the Civil Rights Act aimed to end discrimination in all firms with 25 or more employees.,Title VII of the Civil Rights Act aimed to end discrimination in all firms with 25 or more employees and established the Equal Employment Opportunity Commission as the agency charged with ending discrimination in the workplace.,0.929792047,0,0.482457299,0.733333333,0.714285714,0.733333333,0.905344009,0,0.273583842,0.468085106,0.444444444,0.468085106
ending discrimination in the nation's workplace,The goal of the Equal Employment Opportunity Commission was to end discrimination in all firms with 25 or more employees.,The Equal Employment Opportunity Commission was established to end discrimination in all firms with 25 or more employees.,0.861992359,0,0.022537413,0.296296296,0.16,0.222222222,0.849465787,0,0.022844115,0.32,0.173913043,0.24
Title VII,Title VII was considered the most controversial section of the legislation.,Title VII was perhaps the most controversial section of the legislation.,0.882501185,0,0.039863571,0.307692308,0.181818182,0.307692308,0.886273265,0,0.039863571,0.307692308,0.181818182,0.307692308
a de facto quota system,Critical conservatives claimed that Title VII advocated for a de facto quota system and was unconstitutional because it attempted to regulate the workplace.,Title VII was claimed to be unconstitutional and advocate for a de facto quota system by critics.,0.886743546,0,0.15415065,0.357142857,0.307692308,0.357142857,0.891556919,0,0.214090927,0.454545455,0.4,0.454545455
Hubert Humphrey,Senator Hubert Humphrey fought back against criticism of Title VII by emphasizing that it did not require quotas and was designed to promote nondiscrimination based on ability and qualifications rather than race or religion.,Senator Hubert Humphrey fought back against criticism of Title VII by stating that it does not require quotas and only mandates nondiscrimination.,0.843550205,0,0.011577942,0.111111111,0.058823529,0.111111111,0.857280672,0,0.018371774,0.166666667,0.090909091,0.166666667
Everett Dirksen,Humphrey convinced Senator Hubert H. Humphrey of Minnesota to support the bill.,Humphrey was able to convince Vice President Richard Nixon to support the bill.,0.760896027,0,0,0,0,0,0.765310228,0,0,0,0,0
Senate Minority Leader,Senator,Everett Dirksen was also Senate Minority Leader,0.852722406,0,0,0.5,0,0.5,0.845300198,0,0.163481266,0.6,0.5,0.6
his successor Nixon,"Johnson's successor, Richard Nixon, followed in his footsteps by signing the Equal Opportunity Act into law.",Lyndon B. Johnson,0.872600377,0,0.012300686,0.3,0,0.2,0.858713329,0,0,0,0,0
Philadelphia Order,The Civil Rights Act of 1969 was begun in 1969.,The Civil Rights Act of 1969 was begun in 1969.,0.805273116,0,0,0,0,0,0.805273116,0,0,0,0,0
construction,The legislation targeted the construction industry and craft unions for their discriminatory practices against minorities.,The legislation targeted industries that were openly hostile to letting blacks into their closed circle.,0.829789698,0,0.013217948,0.125,0,0.125,0.833134413,0,0,0,0,0
craft unions,The other group that was one of the main offenders against equal opportunity laws was craft unions.,The other group that was one of the main offenders against equal opportunity laws was craft unions.,0.87629348,0,0.011502784,0.210526316,0.117647059,0.210526316,0.87629348,0,0.011502784,0.210526316,0.117647059,0.210526316
Arthur Fletcher,Arthur Fletcher held the position of Assistant Secretary of Labor.,Arthur Fletcher held the position of Assistant Secretary of Labor.,0.89534843,0,0.044632361,0.333333333,0.2,0.333333333,0.89534843,0,0.044632361,0.333333333,0.2,0.333333333
became less prevalent,"After the Nixon administration, affirmative action policies became less prevalent.","After the Nixon administration, affirmative action became less prevalent and took a back seat during the brief Ford administration.",0.872874916,0,0.044632361,0.461538462,0.363636364,0.461538462,0.857613683,0,0.050395187,0.272727273,0.2,0.272727273
there were other areas that needed focus,One of the primary reasons that the issue of affirmative action lost its momentum was due to enforcement stumbling along because new issues were being raised and people began to view affirmative action as a glorified issue of the past.,One of the primary reasons that the issue of affirmative action lost its momentum was because it faced bipartisan opposition in Congress and some opponents claimed that it had undesirable side effects and failed to achieve its goals.,0.855582237,0,0.005495156,0.085106383,0,0.042553191,0.857106745,0,0.004874286,0.044444444,0,0.044444444
Ford,The Clinton administration allowed affirmative action to take a backseat to other issues.,The Ford administration allowed affirmative action to take a backseat to other issues.,0.821860194,0,0,0,0,0,0.822056293,0,0.015537126,0.142857143,0,0.142857143
racial,racial classifications,Subject classification was subject to strict scrutiny,0.862436414,0,0.149534878,0.666666667,0,0.666666667,0.830093145,0,0,0,0,0
necessary to promote a compelling governmental interest,No relevant information available,The only situation in which a racial classification could be considered acceptable would be if it was necessary to promote a compelling governmental interest and subject to strict scrutiny.,0.821847737,0,0,0,0,0,0.866791189,0,0.195928014,0.388888889,0.352941176,0.388888889
U.S. Supreme Court,Yes,The U.S. Supreme Court later confirmed that racial classifications were only to be upheld if they were necessary to promote a compelling governmental interest.,0.852277577,0,0,0,0,0,0.896080136,0,0.039164497,0.275862069,0.222222222,0.275862069
Richmond v. J.A. Croson Co.,Richmond v. J.A. Croson Co.,Richmond v. J.A. Croson Co. is an example of where upholding racial classifications that benefit underrepresented minorities are upheld if necessary and promote a compelling governmental purpose.,1.000000119,1,1,1,1,1,0.915304601,0,0.129919165,0.352941176,0.3125,0.352941176
Ricci v. DeStefano,The Ricci v. DeStefano case was heard by the Supreme Court in 2009.,The Ricci v. DeStefano was heard by the Supreme Court in 2009.,0.916330218,0,0.07689684,0.375,0.285714286,0.375,0.918159306,0,0.084301189,0.4,0.307692308,0.4
"New Haven, Connecticut","The issue was heard in the case based out of New Haven, Connecticut.","The case based out of New Haven, Connecticut",0.879776835,0,0.03285702,0.375,0.285714286,0.375,0.888170779,0,0.13747081,0.545454545,0.444444444,0.545454545
17,17,5,1.000000477,1,0.177827941,1,0,1,0.999607563,0,0,0,0,0
23,23%,23%,0.914463818,0,0,1,0,1,0.914463818,0,0,1,0,1
05-Apr,The final vote count for the Supreme Court case was 5-4.,The final vote count for the Supreme Court case mentioned in the context was a split 5-4 vote.,0.825198412,0,0,0.285714286,0.166666667,0.285714286,0.816839218,0,0.010802315,0.19047619,0.105263158,0.19047619
Kennedy,"President Kennedy stated in Executive Order 10925 that ""discrimination because of race, creed, color, or national origin is contrary to the Constitutional principles and policies of the United States"".","President Kennedy stated in Executive Order 10925 that ""discrimination because of race, creed, color, or national origin is contrary to the Constitutional principles and policies of the United States.""",0.785223186,0,0.006471824,0.066666667,0,0.066666667,0.79464823,0,0.006471824,0.066666667,0,0.066666667
Executive Order 10925,President Kennedy used Executive Order 10925 to claim that discrimination was a violation of the Constitution.,President Kennedy used Executive Order 10925 to claim that discrimination was a violation of the Constitution.,0.885657132,0,0.06087895,0.315789474,0.235294118,0.315789474,0.885657132,0,0.06087895,0.315789474,0.235294118,0.315789474
Federal Government and on government contracts,The affected industries in terms of regulation as a result of Executive Order 10925 were government contractors and executive departments and agencies.,The affected industries in terms of regulation as a result of Executive Order 10925 were government contractors and executive departments and agencies.,0.836759984,0,0.010331208,0.142857143,0,0.142857143,0.836759984,0,0.010331208,0.142857143,0,0.142857143
class,Believers in affirmative action felt that the system discriminated against minorities and women who have been historically excluded groups in America.,Believers in affirmative action felt that the system also discriminated against minorities and women who have been historically excluded groups in America.,0.800221205,0,0,0,0,0,0.800023973,0,0,0,0,0
African American Policy Forum,The African American Policy Forum believed in the class-based argument.,The African American Policy Forum believed in the class based argument.,0.911792755,0,0.262690989,0.533333333,0.461538462,0.533333333,0.909443915,0,0.234623503,0.533333333,0.461538462,0.533333333
African American middle class,"The AAPF claimed that affirmative action created a society where all individuals have equal opportunities and are treated with dignity and respect, regardless of their race or ethnicity.",The African American Policy Forum (AAPF) believes that affirmative action was created for non-poor minorities who experience racial and gender-based discrimination.,0.817762971,0,0,0,0,0,0.821364224,0,0.019316954,0.148148148,0.08,0.148148148
non-poor minorities do not experience racial and gender based discrimination,The African American Policy Forum believes that the class based argument is based on the idea that non-poor minorities do not experience racial and gender based discrimination.,The AAPF believes the foundation for the class-based argument is based on the idea that non-poor minorities do not experience racial and gender-based discrimination.,0.916599035,0,0.291087366,0.564102564,0.540540541,0.564102564,0.919603467,0,0.247698026,0.578947368,0.555555556,0.578947368
